TOKEN	NE-COARSE-LIT
ratified	O
the	O
OECD	O
Convention	O
on	O
bribery	B_TERM
of	O
foreign	O
public	B_TERM
officials	I_TERM
in	O
international	O
business	B_TERM
transactions	I_TERM
of	O
1997	O
and	O
have	O
adjusted	O
their	O
criminal	B_TERM
law	I_TERM
accordingly	O
.	O
With	O
14	O
ratifications	O
completed	O
,	O
the	O
Criminal	B_TERM
Law	I_TERM
Convention	O
on	O
Corruption	B_TERM
of	O
the	O
Council	O
of	O
Europe	O
entered	O
into	O
force	O
on	O
1	O
July	O
2002	O
.	O
Still	O
,	O
only	O
four	O
EU	O
Member	O
States	O
have	O
ratified	O
this	O
Convention	O
.	O
Only	O
2	O
EU	O
Member	O
States	O
have	O
ratified	O
the	O
Civil	B_TERM
Law	I_TERM
Convention	O
on	O
Corruption	B_TERM
of	O
the	O
Council	O
of	O
Europe	O
so	O
far	O
.	O
The	O
Commission	O
calls	O
upon	O
those	O
Member	O
States	O
which	O
have	O
not	O
yet	O
ratified	O
the	O
Criminal	B_TERM
and	O
/	O
or	O
the	O
Civil	B_TERM
Law	I_TERM
Convention	O
on	O
Corruption	B_TERM
of	O
the	O
Council	O
of	O
Europe	O
or	O
which	O
have	O
not	O
joined	O
the	O
Group	O
of	O
States	O
against	O
Corruption	B_TERM
(	O
GRECO	O
)	O
,	O
to	O
do	O
so	O
without	O
any	O
further	O
delay	O
.	O
c	O
)	O
Monitoring	O
the	O
implementation	O
of	O
anti-corruption	B_TERM
instruments	I_TERM
Once	O
these	O
EU	O
and	O
international	O
instruments	O
will	O
have	O
come	O
into	O
force	O
by	O
effective	O
enacting	O
legislation	B_TERM
,	O
many	O
of	O
the	O
Member	O
States	O
'	O
relevant	O
criminal	B_TERM
law	I_TERM
provisions	O
(	O
incriminations	B_TERM
,	O
sanctions	B_TERM
and	O
confiscation	B_TERM
,	O
liability	B_TERM
of	O
and	O
sanctions	B_TERM
for	O
legal	B_TERM
persons	I_TERM
,	O
extradition	B_TERM
,	O
prosecution	B_TERM
and	O
cooperation	O
between	O
Member	O
States	O
'	O
law	B_TERM
enforcement	I_TERM
authorities	B_TERM
)	O
will	O
be	O
already	O
assimilated	O
.	O
The	O
Commission	O
is	O
of	O
the	O
opinion	O
that	O
all	O
international	O
efforts	O
on	O
combating	B_TERM
corruption	I_TERM
can	O
only	O
prove	O
their	O
worth	O
if	O
they	O
are	O
followed	O
by	O
monitoring	O
and	O
evaluation	B_TERM
mechanisms	I_TERM
based	O
on	O
peer	O
review	O
.	O
On	O
the	O
other	O
hand	O
,	O
(	O
costly	O
and	O
often	O
counterproductive	O
)	O
duplication	O
of	O
international	O
activities	O
should	O
be	O
avoided	O
as	O
much	O
as	O
possible	O
.	O
As	O
guardian	O
of	O
the	O
Treaties	O
,	O
the	O
Commission	O
has	O
a	O
general	O
role	O
in	O
monitoring	O
the	O
implementation	O
of	O
in	O
particular	O
EC	O
law	B_TERM
and	O
closely	O
following	O
the	O
implementation	O
of	O
all	O
EU	O
instruments	O
by	O
the	O
Member	O
States	O
Nevertheless	O
,	O
apart	O
from	O
the	O
possibility	O
to	O
submit	O
questions	O
on	O
interpretation	O
and	O
validity	O
on	O
Framework	B_TERM
Decisions	I_TERM
and	O
Conventions	O
to	O
the	O
European	O
Court	B_TERM
of	I_TERM
Justice	I_TERM
by	O
way	O
of	O
preliminary	B_TERM
rulings	I_TERM
,	O
the	O
EU	O
instruments	O
do	O
not	O
provide	O
a	O
genuine	O
follow-up	O
monitoring	O
or	O
evaluating	O
mechanism	O
comparable	O
to	O
the	O
(	O
subregional	O
)	O
OECD	O
Working	O
Group	O
on	O
Bribery	B_TERM
or	O
the	O
(	O
mainly	O
European	O
)	O
Group	O
of	O
States	O
against	O
Corruption	B_TERM
(	O
GRECO	O
)	O
mandated	B_TERM
to	O
ensure	O
the	O
implementation	O
of	O
the	O
OECD	O
Bribery	B_TERM
Convention	O
and	O
the	O
Council	O
of	O
Europe	O
's	O
Criminal	B_TERM
and	O
Civil	B_TERM
Law	I_TERM
Conventions	O
.	O
GRECO	O
is	O
responsible	O
for	O
monitoring	O
observance	O
of	O
the	O
Council	O
of	O
Europe	O
's	O
20	O
Guiding	O
Principles	O
for	O
the	O
Fight	B_TERM
against	I_TERM
Corruption	I_TERM
and	O
implementation	O
of	O
the	O
Criminal	B_TERM
and	O
Civil	B_TERM
Law	I_TERM
Conventions	O
on	O
Corruption	B_TERM
and	O
on	O
codes	B_TERM
of	I_TERM
conduct	I_TERM
for	O
public	B_TERM
officials	I_TERM
.	O
It	O
evaluates	O
in	O
two	O
phases	O
through	O
peer	O
review	O
,	O
the	O
compliance	B_TERM
with	O
undertakings	O
contained	O
in	O
these	O
legal	B_TERM
instruments	I_TERM
and	O
thus	O
contributes	O
to	O
identifying	O
deficiencies	O
and	O
insufficiencies	O
of	O
national	O
mechanisms	O
against	O
corruption	B_TERM
,	O
and	O
to	O
prompting	O
the	O
necessary	O
legislative	B_TERM
,	O
institutional	O
and	O
practical	O
reforms	O
in	O
order	O
to	O
better	O
prevent	O
and	O
combat	B_TERM
corruption	I_TERM
.	O
In	O
this	O
context	O
,	O
it	O
is	O
useful	O
recalling	O
that	O
both	O
Council	O
of	O
Europe	O
Conventions	O
on	O
corruption	B_TERM
followed	O
the	O
adoption	O
of	O
the	O
EU	O
criminal	B_TERM
law	I_TERM
instruments	O
and	O
developed	O
them	O
further	O
.	O
GRECO	O
became	O
operational	O
as	O
of	O
1	O
May	O
1999	O
and	O
currently	O
has	O
34	O
members	O
,	O
including	O
all	O
EU	O
Member	O
States	O
(	O
except	O
Austria	O
and	O
Italy	O
)	O
and	O
candidate	O
countries	O
(	O
except	O
Turkey	O
)	O
and	O
the	O
US	O
.	O
The	O
Commission	O
is	O
of	O
the	O
opinion	O
that	O
at	O
this	O
stage	O
a	O
separate	O
EU	O
anti-corruption	B_TERM
evaluation	O
and	O
monitoring	B_TERM
mechanism	I_TERM
is	O
inappropriate	O
,	O
because	O
this	O
would	O
run	O
against	O
the	O
Commission	O
's	O
general	O
conviction	O
that	O
unnecessary	O
duplication	O
of	O
efforts	O
should	O
be	O
avoided	O
.	O
Both	O
Conventions	O
on	O
Corruption	B_TERM
of	O
the	O
Council	O
of	O
Europe	O
and	O
GRECO	O
's	O
Statute	B_TERM
provide	O
already	O
specific	O
accession	O
clauses	O
for	O
the	O
European	O
Community	O
.	O
Whilst	O
accession	O
to	O
the	O
Criminal	B_TERM
Law	I_TERM
Convention	O
and	O
GRECO	O
membership	O
independent	O
of	O
the	O
two	O
Conventions	O
requires	O
a	O
formal	O
invitation	O
by	O
the	O
Council	O
of	O
Europe	O
's	O
Committee	O
of	O
Ministers	O
,	O
the	O
accession	O
to	O
the	O
Civil	B_TERM
Law	I_TERM
Convention	O
,	O
followed	O
automatically	O
by	O
GRECO	O
membership	O
,	O
can	O
be	O
unilaterally	O
decided	O
by	O
the	O
EC	O
.	O
Hence	O
,	O
the	O
Commission	O
will	O
prepare	O
,	O
within	O
the	O
limits	O
of	O
Community	O
competence	O
,	O
the	O
accession	O
of	O
the	O
European	O
Community	O
to	O
both	O
Conventions	O
on	O
Corruption	B_TERM
of	O
the	O
Council	O
of	O
Europe	O
and	O
request	O
the	O
Council	O
for	O
authorisation	O
to	O
negotiate	O
with	O
the	O
Council	O
of	O
Europe	O
the	O
terms	O
and	O
modalities	O
of	O
the	O
Community	O
's	O
subsequent	O
participation	O
in	O
GRECO	O
.	O
EU	O
Member	O
States	O
should	O
in	O
the	O
Council	O
and	O
in	O
the	O
Committee	O
of	O
Ministers	O
of	O
the	O
Council	O
of	O
Europe	O
fully	O
support	O
the	O
possible	O
application	O
of	O
the	O
European	O
Community	O
,	O
prepared	O
by	O
the	O
Commission	O
,	O
to	O
the	O
Criminal	B_TERM
Law	I_TERM
Convention	O
on	O
Corruption	B_TERM
of	O
the	O
Council	O
of	O
Europe	O
,	O
including	O
its	O
subsequent	O
participation	O
in	O
GRECO	O
,	O
based	O
on	O
the	O
appropriate	O
modalities	O
to	O
be	O
agreed	O
.	O
In	O
case	O
participation	O
in	O
GRECO	O
will	O
not	O
be	O
considered	O
a	O
viable	O
option	O
,	O
the	O
Commission	O
would	O
consider	O
if	O
a	O
separate	O
EU	O
mutual	O
evaluation	O
and	O
monitoring	B_TERM
mechanism	I_TERM
on	O
the	O
fight	B_TERM
against	I_TERM
corruption	I_TERM
could	O
be	O
set	O
up	O
.	O
d	O
)	O
Improving	O
judicial	B_TERM
and	O
police	B_TERM
cooperation	O
within	O
the	O
EU	O
Police	B_TERM
and	O
judicial	B_TERM
cooperation	O
within	O
the	O
EU	O
has	O
been	O
strengthened	O
through	O
the	O
setting-up	O
of	O
EUROJUST	O
,	O
a	O
judicial	B_TERM
cooperation	O
network	O
,	O
and	O
an	O
extended	O
mandate	B_TERM
for	O
Europol	O
.	O
The	O
creation	O
of	O
the	O
provisional	O
EUROJUST	O
unit	O
was	O
approved	O
in	O
December	O
2001	O
and	O
nomination	O
of	O
its	O
members	O
took	O
place	O
in	O
July	O
2002	O
.	O
EUROJUST	O
is	O
composed	O
of	O
one	O
magistracy	B_TERM
(	O
prosecutor	B_TERM
,	O
judge	B_TERM
,	O
police	B_TERM
officers	I_TERM
with	O
prosecuting	B_TERM
powers	O
)	O
for	O
each	O
Member	O
State	O
with	O
a	O
view	O
to	O
facilitating	O
contacts	O
,	O
enabling	O
cooperation	O
between	O
magistrates	B_TERM
and	O
discovering	O
links	O
between	O
on-going	O
transborder	O
cases	O
.	O
The	O
material	O
competence	O
of	O
EUROJUST	O
is	O
very	O
similar	O
to	O
the	O
mandate	B_TERM
of	O
the	O
Europol	O
Convention	O
covering	O
inter	O
alia	O
fraud	B_TERM
and	O
corruption	B_TERM
,	O
money	B_TERM
laundering	I_TERM
and	O
participation	O
in	O
a	O
criminal	B_TERM
organisation	I_TERM
.	O
Hence	O
,	O
both	O
bodies	O
can	O
and	O
will	O
be	O
dealing	O
with	O
transborder	B_TERM
corruption	I_TERM
cases	I_TERM
and	O
thus	O
fulfil	O
requirements	O
stemming	O
from	O
relevant	O
provisions	O
of	O
the	O
EU	O
anti-corruption	B_TERM
instruments	I_TERM
.	O
Also	O
the	O
European	O
Financial	B_TERM
Prosecutor	I_TERM
as	O
proposed	O
by	O
the	O
Commission	O
in	O
its	O
Green	B_TERM
Paper	I_TERM
of	O
11	O
December	O
2001	O
would	O
be	O
mandated	B_TERM
to	O
deal	O
with	O
corruption	B_TERM
offences	I_TERM
provided	O
they	O
affect	O
the	O
financial	B_TERM
interests	I_TERM
of	O
the	O
Community	O
.	O
In	O
this	O
context	O
,	O
the	O
Framework	B_TERM
Decision	I_TERM
on	O
the	O
European	B_TERM
Arrest	I_TERM
Warrant	I_TERM
,	O
whose	O
provisions	O
will	O
be	O
applied	O
by	O
all	O
Member	O
States	O
at	O
the	O
latest	O
on	O
1	O
January	O
2004	O
,	O
will	O
be	O
a	O
key	O
factor	O
in	O
the	O
fight	B_TERM
against	I_TERM
corruption	I_TERM
.	O
The	O
Framework	B_TERM
Decision	I_TERM
will	O
include	O
the	O
offence	B_TERM
of	O
corruption	B_TERM
among	O
the	O
offences	B_TERM
for	O
which	O
prior	O
verification	O
of	O
double	B_TERM
criminality	I_TERM
is	O
not	O
required	O
,	O
and	O
this	O
should	O
ensure	O
that	O
offenders	B_TERM
are	O
surrendered	O
to	O
the	O
judicial	B_TERM
authorities	I_TERM
of	O
the	O
requesting	O
State	O
.	O
Furthermore	O
,	O
the	O
Council	O
is	O
currently	O
examining	O
proposals	O
for	O
two	O
new	O
legal	B_TERM
acts	I_TERM
,	O
which	O
once	O
adopted	O
,	O
would	O
engage	O
Member	O
States	O
to	O
adjust	O
national	O
legislation	B_TERM
or	O
adopt	O
new	O
provisions	O
with	O
a	O
view	O
to	O
ensuring	O
mutual	O
recognition	O
of	O
freezing	B_TERM
orders	O
,	O
including	O
proceeds	B_TERM
of	O
corruption	B_TERM
offences	I_TERM
,	O
and	O
facilitating	O
confiscation	B_TERM
of	O
proceeds	B_TERM
,	O
especially	O
by	O
allowing	O
the	O
competent	O
authorities	B_TERM
to	O
confiscate	B_TERM
property	O
belonging	O
to	O
a	O
person	O
convicted	B_TERM
of	O
a	O
criminal	B_TERM
act	I_TERM
that	O
is	O
of	O
such	O
nature	O
that	O
it	O
can	O
generate	O
substantial	O
proceeds	B_TERM
,	O
unless	O
that	O
person	O
can	O
demonstrate	O
that	O
the	O
property	O
was	O
legitimately	B_TERM
acquired	O
.	O
In	O
the	O
two	O
texts	O
,	O
no	O
specific	O
predicate	B_TERM
offences	I_TERM
are	O
listed	O
;	O
it	O
would	O
be	O
applicable	O
to	O
all	O
acts	O
punishable	B_TERM
by	O
a	O
maximum	O
sentence	B_TERM
of	O
up	O
to	O
six	O
years	O
'	O
imprisonment	B_TERM
.	O
Albeit	O
from	O
a	O
legal	B_TERM
point	O
of	O
view	O
not	O
covering	O
the	O
area	O
of	O
judicial	B_TERM
and	O
police	B_TERM
cooperation	O
,	O
it	O
is	O
useful	O
also	O
recalling	O
in	O
this	O
context	O
that	O
the	O
second	O
Money	B_TERM
Laundering	I_TERM
Directive	B_TERM
adopted	O
in	O
November	O
2001	O
extends	O
the	O
scope	O
of	O
predicate	B_TERM
offences	I_TERM
to	O
all	O
serious	O
crime	B_TERM
,	O
including	O
explicitly	O
corruption	B_TERM
,	O
and	O
obliges	O
Member	O
States	O
to	O
combat	O
and	O
to	O
prevent	O
the	O
laundering	B_TERM
of	O
proceeds	B_TERM
stemming	O
from	O
these	O
offences	B_TERM
.	O
Actions	O
which	O
amount	O
to	O
corruption	B_TERM
under	O
the	O
laws	B_TERM
of	O
the	O
Member	O
States	O
,	O
whether	O
passive	O
or	O
active	O
or	O
in	O
the	O
private	B_TERM
or	O
public	B_TERM
sectors	I_TERM
,	O
should	O
be	O
covered	O
taking	O
into	O
account	O
the	O
common	O
standards	O
and	O
definitions	O
developed	O
under	O
the	O
EU	O
instruments	O
and	O
the	O
OECD	O
Bribery	B_TERM
Convention	O
and	O
the	O
Council	O
of	O
Europe	O
Conventions	O
on	O
Corruption	B_TERM
.	O
e	O
)	O
Fighting	O
private-to-private	B_TERM
corruption	I_TERM
As	O
regards	O
private	B_TERM
sector	I_TERM
corruption	I_TERM
,	O
a	O
Joint	B_TERM
Action	I_TERM
on	O
corruption	B_TERM
in	O
the	O
private	B_TERM
sector	I_TERM
was	O
adopted	O
in	O
December	O
1998	O
,	O
which	O
calls	O
on	O
Member	O
States	O
to	O
make	O
a	O
criminal	B_TERM
offence	I_TERM
of	O
both	O
active	B_TERM
and	O
passive	B_TERM
corruption	I_TERM
of	O
a	O
person	O
acting	O
in	O
the	O
course	O
of	O
business	B_TERM
.	O
Member	O
States	O
may	O
however	O
limit	O
themselves	O
to	O
cover	O
conduct	O
which	O
involves	O
the	O
distortion	B_TERM
of	I_TERM
competition	I_TERM
within	O
the	O
common	B_TERM
market	I_TERM
and	O
which	O
results	O
in	O
economic	B_TERM
damage	I_TERM
to	O
others	O
by	O
the	O
improper	O
award	O
or	O
execution	O
of	O
a	O
contract	B_TERM
.	O
Still	O
,	O
the	O
Joint	B_TERM
Action	I_TERM
only	O
committed	O
the	O
Member	O
States	O
'	O
governments	B_TERM
,	O
but	O
not	O
the	O
national	O
parliaments	O
and	O
indeed	O
up	O
to	O
now	O
,	O
only	O
eight	O
Member	O
States	O
have	O
implemented	O
the	O
Joint	B_TERM
Action	I_TERM
in	O
its	O
entirety	O
.	O
Hence	O
,	O
Denmark	O
submitted	O
in	O
July	O
2002	O
an	O
initiative	O
for	O
a	O
Council	O
Framework	B_TERM
Decision	I_TERM
on	O
combating	O
private	B_TERM
sector	I_TERM
corruption	I_TERM
.	O
It	O
is	O
supposed	O
to	O
reformat	O
and	O
to	O
further	O
develop	O
the	O
Joint	B_TERM
Action	I_TERM
of	O
1998	O
and	O
thus	O
have	O
a	O
more	O
binding	O
character	O
than	O
the	O
previous	O
instrument	O
.	O
The	O
Commission	O
recalls	O
that	O
the	O
aforesaid	O
Joint	B_TERM
Action	I_TERM
was	O
accompanied	O
by	O
a	O
Council	O
declaration	O
,	O
which	O
was	O
supported	O
by	O
the	O
Commission	O
,	O
suggesting	O
to	O
take	O
further	O
steps	O
in	O
the	O
future	O
.	O
At	O
their	O
meeting	O
on	O
19	O
December	O
2002	O
,	O
EU	O
Ministers	O
of	O
Justice	B_TERM
and	O
Home	B_TERM
Affairs	I_TERM
reached	O
a	O
general	O
political	B_TERM
agreement	I_TERM
on	O
the	O
text	O
of	O
the	O
draft	O
Framework	B_TERM
Decision	I_TERM
.	O
The	O
Commission	O
welcomes	O
this	O
initiative	O
,	O
which	O
takes	O
into	O
account	O
the	O
process	O
of	O
privatisation	B_TERM
in	O
former	O
public	B_TERM
companies	B_TERM
at	O
large	O
.	O
The	O
suggested	O
instrument	O
would	O
also	O
ensure	O
that	O
there	O
is	O
no	O
imbalance	O
between	O
the	O
instruments	O
covering	O
corruption	B_TERM
involving	O
public	B_TERM
officials	I_TERM
and	O
corruption	B_TERM
between	O
private	B_TERM
entities	O
.	O
Thus	O
,	O
independent	O
of	O
the	O
organisational	O
structure	O
of	O
certain	O
sectors	O
within	O
the	O
EU	O
and	O
taking	O
into	O
account	O
that	O
the	O
public	B_TERM
sector	I_TERM
criminal	B_TERM
law	I_TERM
instruments	O
refer	O
to	O
domestic	O
law	B_TERM
when	O
defining	O
what	O
public	B_TERM
officials	I_TERM
are	O
,	O
possible	O
legal	B_TERM
discrepancies	O
can	O
be	O
evened	O
out	O
with	O
a	O
view	O
to	O
giving	O
the	O
same	O
degree	O
of	O
legal	B_TERM
protection	O
against	O
the	O
same	O
corrupt	B_TERM
behaviour	I_TERM
.	O
Furthermore	O
,	O
the	O
Danish	O
initiative	O
seeks	O
to	O
follow	O
the	O
approach	O
chosen	O
in	O
other	O
Framework	B_TERM
Decisions	I_TERM
.	O
f	O
)	O
Detecting	O
,	O
prosecuting	B_TERM
and	O
punishing	B_TERM
corruption	B_TERM
cases	I_TERM
Whilst	O
substantial	O
criminal	B_TERM
law	I_TERM
legislation	I_TERM
on	I_TERM
corruption	I_TERM
covering	O
both	O
active	O
and	O
passive	O
in	O
the	O
public	B_TERM
and	O
the	O
private	B_TERM
sector	I_TERM
is	O
already	O
or	O
will	O
be	O
shortly	O
in	O
place	O
in	O
all	O
EU	O
Member	O
States	O
and	O
its	O
candidate	O
countries	O
-	O
thanks	O
to	O
supranational	O
efforts	O
in	O
this	O
field	O
by	O
drawing	O
up	O
the	O
aforementioned	O
EU	O
and	O
international	O
anti-corruption	B_TERM
instruments	I_TERM
-	O
the	O
true	O
problem	O
of	O
the	O
fight	B_TERM
against	I_TERM
corruption	I_TERM
seems	O
to	O
lie	O
rather	O
in	O
the	O
field	O
of	O
implementing	O
these	O
laws	B_TERM
,	O
i.e.	O
preventing	O
,	O
investigating	O
,	O
prosecuting	B_TERM
and	O
adjudicating	B_TERM
corruption	B_TERM
cases	I_TERM
.	O
This	O
is	O
due	O
to	O
the	O
fact	O
that	O
corruption	B_TERM
is	O
often	O
referred	O
to	O
as	O
the	O
crime	B_TERM
without	O
(	O
direct	O
)	O
victim	B_TERM
.	O
Hence	O
,	O
there	O
is	O
rarely	O
an	O
affected	O
party	O
being	O
able	O
to	O
report	B_TERM
a	O
corruption	B_TERM
case	I_TERM
to	O
police	B_TERM
and	O
judicial	B_TERM
authorities	I_TERM
and	O
indeed	O
very	O
few	O
cases	B_TERM
of	I_TERM
corruption	I_TERM
are	O
reported	B_TERM
.	O
This	O
is	O
probably	O
due	O
to	O
the	O
fact	O
that	O
corruption	B_TERM
usually	O
is	O
sealed	O
through	O
the	O
pact	B_TERM
of	I_TERM
silence	I_TERM
between	O
briber	B_TERM
and	O
bribee	B_TERM
,	O
who	O
have	O
a	O
mutual	O
interest	O
in	O
concealing	O
their	O
activities	O
as	O
far	O
as	O
possible	O
.	O
Furthermore	O
there	O
are	O
only	O
very	O
limited	O
statistics	O
and	O
crime	B_TERM
records	I_TERM
on	O
corruption	B_TERM
cases	I_TERM
,	O
and	O
those	O
that	O
exist	O
do	O
not	O
serve	O
as	O
indicators	O
of	O
the	O
general	O
problem	O
due	O
to	O
the	O
high	O
number	O
of	O
unreported	O
cases	O
.	O
Consequently	O
,	O
it	O
is	O
very	O
difficult	O
to	O
draw	O
the	O
right	O
conclusions	O
and	O
the	O
only	O
way	O
in	O
order	O
to	O
know	O
more	O
is	O
to	O
convince	O
witnesses	B_TERM
to	O
report	B_TERM
corruption	B_TERM
cases	I_TERM
.	O
This	O
can	O
only	O
be	O
achieved	O
by	O
the	O
effective	O
protection	O
of	O
whistleblowers	B_TERM
against	O
victimisation	O
and	O
retaliation	B_TERM
(	O
loss	O
of	O
job	O
,	O
personal	O
threats	O
etc.	O
)	O
and	O
witness	B_TERM
protection	O
instruments	O
as	O
suggested	O
in	O
the	O
Millennium	O
Strategy	O
on	O
the	O
prevention	O
and	O
control	O
of	O
organised	B_TERM
crime	I_TERM
(	O
cf	O
.	O
Recommendation	O
n°	O
25	O
)	O
.	O
Often	O
,	O
there	O
will	O
be	O
no	O
witnesses	B_TERM
at	O
all	O
that	O
could	O
report	B_TERM
a	O
corruption	B_TERM
case	I_TERM
,	O
so	O
that	O
the	O
only	O
way	O
to	O
reveal	O
corrupt	B_TERM
practices	I_TERM
seems	O
to	O
be	O
to	O
give	O
incentives	O
for	O
persons	O
directly	O
involved	O
in	O
these	O
practices	O
to	O
report	B_TERM
their	O
accomplices	B_TERM
.	O
If	O
none	O
of	O
these	O
possibilities	O
provides	O
the	O
right	O
solution	O
,	O
one	O
has	O
to	O
think	O
,	O
as	O
a	O
last	O
resort	O
,	O
about	O
ways	O
to	O
facilitate	O
the	O
burden	B_TERM
of	I_TERM
proof	I_TERM
for	O
law	B_TERM
enforcement	I_TERM
authorities	B_TERM
.	O
The	O
Commission	O
Decision	B_TERM
on	O
raising	O
concerns	O
about	O
serious	B_TERM
wrongdoings	I_TERM
sets	O
out	O
clear	O
rules	B_TERM
for	O
the	O
Commission	O
staff	O
on	O
what	O
to	O
do	O
and	O
whom	O
to	O
contact	O
in	O
cases	O
of	O
e.g.	O
fraud	B_TERM
or	O
corruption	B_TERM
.	O
Member	O
States	O
should	O
,	O
where	O
appropriate	O
at	O
the	O
proposal	O
of	O
the	O
Commission	O
,	O
introduce	O
common	O
standards	O
for	O
collection	B_TERM
of	I_TERM
evidence	I_TERM
,	O
special	O
investigative	O
techniques	O
,	O
protection	O
for	O
whistleblowers	B_TERM
,	O
victims	B_TERM
and	O
witnesses	B_TERM
of	O
corruption	B_TERM
and	O
the	O
confiscation	B_TERM
of	O
proceeds	B_TERM
of	O
corruption	B_TERM
with	O
a	O
view	O
to	O
facilitating	O
the	O
detection	O
,	O
investigation	O
,	O
prosecution	B_TERM
and	O
adjudication	B_TERM
of	O
corruption	B_TERM
cases	I_TERM
.	O
They	O
should	O
ensure	O
that	O
appropriate	O
remedies	O
are	O
available	O
for	O
victims	B_TERM
of	O
corruption	B_TERM
.	O
The	O
Commission	O
invites	O
Member	O
States	O
to	O
introduce	O
,	O
where	O
appropriate	O
,	O
clear	O
guidelines	O
for	O
staff	O
of	O
public	B_TERM
administrations	I_TERM
.	O
Reference	O
might	O
be	O
made	O
to	O
the	O
Commission	O
Decision	B_TERM
of	O
4	O
April	O
2002	O
as	O
a	O
model	O
for	O
such	O
guidelines	O
.	O
It	O
is	O
estimated	O
that	O
the	O
global	O
cost	B_TERM
of	O
corruption	B_TERM
adds	O
up	O
to	O
approximately	O
5	O
%	O
of	O
the	O
world	B_TERM
economy	I_TERM
.	O
Organised	B_TERM
crime	I_TERM
groups	I_TERM
use	O
up	O
to	O
30	O
%	O
of	O
their	O
proceeds	B_TERM
to	O
bribe	B_TERM
police	B_TERM
,	O
prosecutors	B_TERM
,	O
judges	B_TERM
and	O
public	B_TERM
administration	I_TERM
in	O
general	O
to	O
purchase	O
exemption	O
from	O
law	B_TERM
enforcement	I_TERM
measures	O
.	O
However	O
,	O
comparatively	O
little	O
public	B_TERM
money	I_TERM
is	O
used	O
to	O
investigate	O
and	O
to	O
prevent	O
corruption	B_TERM
cases	I_TERM
,	O
although	O
experience	O
shows	O
that	O
higher	O
investment	O
into	O
specialised	O
anti-corruption	B_TERM
services	I_TERM
could	O
multiply	O
the	O
detection	O
and	O
prosecution	B_TERM
of	O
offenders	B_TERM
and	O
thereby	O
the	O
effectiveness	O
of	O
any	O
anti-corruption	B_TERM
policy	I_TERM
.	O
Specialised	O
anti-corruption	B_TERM
authorities	I_TERM
and	O
Member	O
States	O
'	O
officials	B_TERM
fighting	O
against	O
corruption	B_TERM
and	O
related	O
economic	B_TERM
crimes	I_TERM
such	O
as	O
fraud	B_TERM
,	O
money	B_TERM
laundering	I_TERM
,	O
tax	B_TERM
and	O
accounting	B_TERM
offences	I_TERM
must	O
enjoy	O
appropriate	O
independence	O
,	O
autonomy	O
and	O
protection	O
in	O
the	O
exercise	O
of	O
their	O
functions	O
,	O
be	O
free	O
from	O
improper	B_TERM
influence	I_TERM
and	O
have	O
effective	O
means	O
for	O
gathering	O
evidence	B_TERM
and	O
protecting	O
those	O
persons	O
helping	O
the	O
authorities	B_TERM
in	O
combating	B_TERM
corruption	I_TERM
.	O
Interagency	O
co-operation	O
and	O
joint	O
investigations	O
,	O
focusing	O
on	O
financial	B_TERM
investigations	I_TERM
should	O
be	O
enhanced	O
and	O
networks	O
and	O
national	O
contact	O
points	O
specifically	O
dealing	O
with	O
corruption	B_TERM
cases	I_TERM
should	O
be	O
set-up	O
in	O
order	O
to	O
facilitate	O
international	O
cooperation	O
.	O
In	O
addition	O
to	O
these	O
suggested	O
initiatives	O
,	O
the	O
Commission	O
has	O
advocated	O
a	O
revision	O
of	O
the	O
EC	O
Treaty	O
to	O
enable	O
the	O
creation	O
of	O
an	O
independent	O
European	O
Public	B_TERM
Prosecutor	I_TERM
responsible	O
for	O
detecting	O
,	O
prosecuting	B_TERM
and	O
remitting	O
for	O
trial	O
the	O
authors	O
of	O
offences	B_TERM
against	O
the	O
EC	O
financial	B_TERM
interests	I_TERM
including	O
corruption	B_TERM
of	O
EU	O
public	B_TERM
servants	I_TERM
.	O
The	O
establishment	O
of	O
a	O
European	O
public	B_TERM
prosecutor	I_TERM
would	O
guarantee	O
effective	O
criminal	B_TERM
law	I_TERM
enforcement	I_TERM
while	O
contributing	O
to	O
the	O
respect	O
for	O
individual	O
rights	B_TERM
and	O
securing	O
judicial	B_TERM
review	O
of	O
the	O
OLAF	O
operational	O
activities	O
SEE	O
COMMISSION	O
GREEN	B_TERM
PAPER	I_TERM
ON	O
THE	O
PROTECTION	O
OF	O
COMMUNITY	O
FINANCIAL	B_TERM
INTERESTS	I_TERM
AND	O
THE	O
ESTABLISHMENT	O
OF	O
A	O
EUROPEAN	O
PUBLIC	B_TERM
PROSECUTOR	I_TERM
,	O
COM	O
(	O
2001	O
)	O
715	O
FROM	O
12	O
/	O
12	O
/	O
2001	O
AND	O
ITS	O
FOLLOW-UP	O
REPORT	O
COM	O
(	O
2003	O
)	O
128	O
FINAL	O
OF	O
19	O
/	O
03	O
/	O
2003	O
.	O
5	O
.	O
BUILDING	O
UP	O
AN	O
ANTI-CORRUPTION	B_TERM
CULTURE	I_TERM
IN	O
THE	O
EU	O
INSTITUTIONS	O
Tackling	O
corruption	B_TERM
and	O
fraud	B_TERM
within	O
the	O
EU	O
institutions	O
and	O
bodies	O
has	O
become	O
an	O
absolute	O
priority	O
for	O
the	O
EU	O
in	O
the	O
last	O
years	O
.	O
The	O
crisis	O
triggered	O
by	O
the	O
Commission	O
's	O
resignation	O
in	O
March	O
1999	O
revealed	O
