TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC	label
Theilheimer	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
Kfm	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
v	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Nördlingen	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Francke	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
Landwirth	O	_	O	_	_	O	_	_	_	6
m	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Gatt	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
v	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Dresden	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Schleicher	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Kfm	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
v	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Linz	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Straßberger	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
Bürger	O	_	O	_	_	O	_	_	_	6
v	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
München	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Embacher	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
Priv	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
v	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Schwoich	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
Rößler	O	_	O	_	_	O	_	_	_	6
Künstler	O	_	O	_	_	O	_	_	_	6
m	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Vater	O	_	O	_	_	O	_	_	_	6
v	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Josefstadt	O	_	O	_	_	O	_	_	_	6
Mauracher	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
Priester	O	_	O	_	_	O	_	_	_	6
v	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Unterinnthal	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
Hechenblaickner	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
Lehrer	O	_	O	_	_	O	_	_	_	6
v	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Wildschönau	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Baron	O	_	O	_	_	O	_	_	_	6
v	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Hunolstein	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
General	O	_	O	_	_	O	_	_	_	6
m	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Fam	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
v	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
München	O	_	O	_	_	O	_	_	_	6
Graf	O	_	O	_	_	O	_	_	_	6
Sprinzenstein	O	_	O	_	_	O	_	_	_	6
m	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Fam	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
v	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Horehutz	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Schusuth	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
Priv	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
v	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Biberich	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
Riesinger	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
Med	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
=Dr	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
v	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Wien	O	_	O	_	_	O	_	_	_	6
Baronesse	O	_	O	_	_	O	_	_	_	6
v	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Oberkirch	O	_	O	_	_	O	_	_	_	6
v	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Regensburg	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Chauvier	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Priv	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
m	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Gatt	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
v	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Paris	O	_	O	_	_	O	_	_	_	6
Tiedemann	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
Ober=Ger=Sekr	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
v	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Glückstadt	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Dimitrovich	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Priv	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
v	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Spalato	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Hoffmann	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
Buchhändler	O	_	O	_	_	O	_	_	_	6
m	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Gatt	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
v	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Leipzig	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Stegner	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
Kfm	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
v	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
Brünn	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Manhart	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
Agent	O	_	O	_	_	O	_	_	_	6
v	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Wien	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Baur	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
Beamter	O	_	O	_	_	O	_	_	_	6
m	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Gatt	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
v	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Stuttgart	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Miller	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Bildhauer	O	_	O	_	_	O	_	_	_	6
u	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Seitz	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Maler	O	_	O	_	_	O	_	_	_	6
v	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
München	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Rechenmacher	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
Priv	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
v	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Meran	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Prinser	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Priv	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
v	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Bozen	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Schwarz	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Seilermstr	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
v	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Klausen	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Teuchler	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
Kfm	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
v	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Pusterthal	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
Marktpreise	O	_	O	_	_	O	_	_	_	6
zu	O	_	O	_	_	O	_	_	_	6
Innsbruck	O	_	O	_	_	O	_	_	_	6
am	O	_	O	_	_	O	_	_	_	6
2	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Juli	O	_	O	_	_	O	_	_	_	6
1864	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
Weizen	O	_	O	_	_	O	_	_	_	6
.	O	_	O	_	_	O	_	_	_	6
.	O	_	O	_	_	O	_	_	_	6
2	O	_	O	_	_	O	_	_	_	6
fl	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
98	O	_	O	_	_	O	_	_	_	6
kr	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
—	O	_	O	_	_	O	_	_	_	6
3	O	_	O	_	_	O	_	_	_	6
fl	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
20	O	_	O	_	_	O	_	_	_	6
kr	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
Roggen	O	_	O	_	_	O	_	_	_	6
.	O	_	O	_	_	O	_	_	_	6
.	O	_	O	_	_	O	_	_	_	6
1	O	_	O	_	_	O	_	_	_	6
fl	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
82	O	_	O	_	_	O	_	_	_	6
kr	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
—	O	_	O	_	_	O	_	_	_	6
2	O	_	O	_	_	O	_	_	_	6
fl	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
10	O	_	O	_	_	O	_	_	_	6
kr	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
Türken	O	_	O	_	_	O	_	_	_	6
.	O	_	O	_	_	O	_	_	_	6
.	O	_	O	_	_	O	_	_	_	6
1	O	_	O	_	_	O	_	_	_	6
fl	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
82	O	_	O	_	_	O	_	_	_	6
kr	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
—	O	_	O	_	_	O	_	_	_	6
1	O	_	O	_	_	O	_	_	_	6
fl	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
96	O	_	O	_	_	O	_	_	_	6
kr	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
Gerste	O	_	O	_	_	O	_	_	_	6
.	O	_	O	_	_	O	_	_	_	6
.	O	_	O	_	_	O	_	_	_	6
1	O	_	O	_	_	O	_	_	_	6
fl	O	_	O	_	_	O	_	_	_	6
80	O	_	O	_	_	O	_	_	_	6
kr	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
—	O	_	O	_	_	O	_	_	_	6
2	O	_	O	_	_	O	_	_	_	6
fl	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
6	O	_	O	_	_	O	_	_	_	6
kr	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
Daker	O	_	O	_	_	O	_	_	_	6
.	O	_	O	_	_	O	_	_	_	6
1	O	_	O	_	_	O	_	_	_	6
fl	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
46	O	_	O	_	_	O	_	_	_	6
kr	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
1	O	_	O	_	_	O	_	_	_	6
fl	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
64	O	_	O	_	_	O	_	_	_	6
kr	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
Erbsen	O	_	O	_	_	O	_	_	_	6
.	O	_	O	_	_	O	_	_	_	6
2	O	_	O	_	_	O	_	_	_	6
fl	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
58	O	_	O	_	_	O	_	_	_	6
kr	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
3	O	_	O	_	_	O	_	_	_	6
fl	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
20	O	_	O	_	_	O	_	_	_	6
kr	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
Fisolen	O	_	O	_	_	O	_	_	_	6
.	O	_	O	_	_	O	_	_	_	6
2	O	_	O	_	_	O	_	_	_	6
fl	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
32	O	_	O	_	_	O	_	_	_	6
kr	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
3	O	_	O	_	_	O	_	_	_	6
fl	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
—	O	_	O	_	_	O	_	_	_	6
kr	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
Schmalz	O	_	O	_	_	O	_	_	_	6
1	O	_	O	_	_	O	_	_	_	6
Ztr	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
54	O	_	O	_	_	O	_	_	_	6
fl	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
—	O	_	O	_	_	O	_	_	_	6
kr	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
57	O	_	O	_	_	O	_	_	_	6
fl	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
—	O	_	O	_	_	O	_	_	_	6
kr	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
1340	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Franz	O	_	O	_	_	O	_	_	_	6
Hölzl	O	_	O	_	_	O	_	_	NoSpaceAfter	6
offerirt	O	_	O	_	_	O	_	_	_	6
in	O	_	O	_	_	O	_	_	_	6
frischer	O	_	O	_	_	O	_	_	_	6
und	O	_	O	_	_	O	_	_	_	6
ganz	O	_	O	_	_	O	_	_	_	6
vorzüglicher	O	_	O	_	_	O	_	_	_	6
Qualität	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Feinste	O	_	O	_	_	O	_	_	_	6
Veroneser	O	_	O	_	_	O	_	_	_	6
Salami	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Echten	O	_	O	_	_	O	_	_	_	6
Parmesan=Käs	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Feinst	O	_	O	_	_	O	_	_	_	6
Aixer	O	_	O	_	_	O	_	_	_	6
Oel	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Feinst	O	_	O	_	_	O	_	_	_	6
Genueser	O	_	O	_	_	O	_	_	_	6
Oel	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Gutes	O	_	O	_	_	O	_	_	_	6
Speis=Oel	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Feinste	O	_	O	_	_	O	_	_	_	6
Augsburger	O	_	O	_	_	O	_	_	_	6
Kernstärke	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Echtes	O	_	O	_	_	O	_	_	_	6
Cölner	O	_	O	_	_	O	_	_	_	6
Wasser	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
34	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Verlaufen	O	_	O	_	_	O	_	_	NoSpaceAfter	6
hat	O	_	O	_	_	O	_	_	_	6
sich	O	_	O	_	_	O	_	_	_	6
am	O	_	O	_	_	O	_	_	_	6
1	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Juli	O	_	O	_	_	O	_	_	_	6
ein	O	_	O	_	_	O	_	_	_	6
kleiner	O	_	O	_	_	O	_	_	_	6
gelb=rother	O	_	O	_	_	O	_	_	_	6
Hund	O	_	O	_	_	O	_	_	_	6
(	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Pinsch	O	_	O	_	_	O	_	_	NoSpaceAfter	6
)	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
Auf	O	_	O	_	_	O	_	_	_	6
der	O	_	O	_	_	O	_	_	_	6
Kelper	O	_	O	_	_	O	_	_	_	6
steht	O	_	O	_	_	O	_	_	_	6
der	O	_	O	_	_	O	_	_	_	6
Rame	O	_	O	_	_	O	_	_	_	6
und	O	_	O	_	_	O	_	_	_	6
Hofgasse	O	_	O	_	_	O	_	_	_	6
Nr	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
37	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
Es	O	_	O	_	_	O	_	_	_	6
wird	O	_	O	_	_	O	_	_	_	6
ersucht	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
selben	O	_	O	_	_	O	_	_	_	6
gegen	O	_	O	_	_	O	_	_	_	6
gutes	O	_	O	_	_	O	_	_	_	6
Trinkgeld	O	_	O	_	_	O	_	_	_	6
dem	O	_	O	_	_	O	_	_	_	6
Eigenthümer	O	_	O	_	_	O	_	_	_	6
zurückzustellen	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
Eine	O	_	O	_	_	O	_	_	_	6
messingene	O	_	O	_	_	O	_	_	_	6
Patentwagenachsenbüchse	O	_	O	_	_	O	_	_	_	6
ist	O	_	O	_	_	O	_	_	_	6
von	O	_	O	_	_	O	_	_	_	6
hier	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Verloren	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
nach	O	_	O	_	_	O	_	_	_	6
Bolders	O	_	O	_	_	O	_	_	_	6
in	O	_	O	_	_	O	_	_	_	6
Verlust	O	_	O	_	_	O	_	_	_	6
gerathen	O	_	O	_	_	O	_	_	_	6
Der	O	_	O	_	_	O	_	_	_	6
Finder	O	_	O	_	_	O	_	_	_	6
wolle	O	_	O	_	_	O	_	_	_	6
selbe	O	_	O	_	_	O	_	_	NoSpaceAfter	6
gegen	O	_	O	_	_	O	_	_	_	6
guten	O	_	O	_	_	O	_	_	_	6
Finderlohn	O	_	O	_	_	O	_	_	_	6
in	O	_	O	_	_	O	_	_	_	6
der	O	_	O	_	_	O	_	_	_	6
Expedition	O	_	O	_	_	O	_	_	_	6
dieses	O	_	O	_	_	O	_	_	_	6
Blattes	O	_	O	_	_	O	_	_	_	6
abgeben	O	_	O	_	_	O	_	_	_	6
22	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Zu	O	_	O	_	_	O	_	_	_	6
vermiethen	O	_	O	_	_	O	_	_	NoSpaceAfter	6
sind	O	_	O	_	_	O	_	_	_	6
Margarethenplatz	O	_	O	_	_	O	_	_	_	6
Nr	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
606	O	_	O	_	_	O	_	_	_	6
ein	O	_	O	_	_	O	_	_	_	6
Laden	O	_	O	_	_	O	_	_	_	6
mit	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Zimmer	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
Küche	O	_	O	_	_	O	_	_	_	6
Arbeitslokale	O	_	O	_	_	O	_	_	_	6
und	O	_	O	_	_	O	_	_	_	6
Keller	O	_	O	_	_	O	_	_	_	6
auf	O	_	O	_	_	O	_	_	_	6
Galli	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
33	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Ein	O	_	O	_	_	O	_	_	_	6
junger	O	_	O	_	_	O	_	_	_	6
Mensch	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	NoSpaceAfter	6
mit	O	_	O	_	_	O	_	_	_	6
besten	O	_	O	_	_	O	_	_	_	6
Zeugnissen	O	_	O	_	_	O	_	_	_	6
versehen	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
wünscht	O	_	O	_	_	O	_	_	NoSpaceAfter	6
eine	O	_	O	_	_	O	_	_	_	6
Beschäftigung	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
Deutsche	O	_	O	_	_	O	_	_	_	6
Classiker	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
300	O	_	O	_	_	O	_	_	_	6
Bändchen	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	NoSpaceAfter	6
complet	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
sind	O	_	O	_	_	O	_	_	_	6
zu	O	_	O	_	_	O	_	_	_	6
verkaufen	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Wo	O	_	O	_	_	O	_	_	NoSpaceAfter	6
?	O	_	O	_	_	O	_	_	_	6
sagt	O	_	O	_	_	O	_	_	_	6
die	O	_	O	_	_	O	_	_	_	6
Expedition	O	_	O	_	_	O	_	_	_	6
dieses	O	_	O	_	_	O	_	_	_	6
Blattes	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
Telegraphische	O	_	O	_	_	O	_	_	_	6
Börsen=Course	O	_	O	_	_	O	_	_	_	6
in	O	_	O	_	_	O	_	_	_	6
Wien	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
Am	O	_	O	_	_	O	_	_	_	6
1	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Juli	O	_	O	_	_	O	_	_	_	6
